Country,Happiness Rank_x,Happiness Rank_y
Denmark,1.0,2.0
Switzerland,2.0,4.0
Iceland,3.0,3.0
Norway,4.0,1.0
Finland,5.0,5.0
Canada,6.0,7.0
Netherlands,7.0,6.0
New Zealand,8.0,8.0
Australia,9.0,10.0
Sweden,10.0,9.0
Israel,11.0,11.0
Austria,12.0,13.0
United States,13.0,14.0
Costa Rica,14.0,12.0
Puerto Rico,15.0,
Germany,16.0,16.0
Brazil,17.0,22.0
Belgium,18.0,17.0
Ireland,19.0,15.0
Luxembourg,20.0,18.0
Mexico,21.0,25.0
Singapore,22.0,26.0
United Kingdom,23.0,19.0
Chile,24.0,20.0
Panama,25.0,30.0
Argentina,26.0,24.0
Czech Republic,27.0,23.0
United Arab Emirates,28.0,21.0
Uruguay,29.0,28.0
Malta,30.0,27.0
Colombia,31.0,36.0
France,32.0,31.0
Thailand,33.0,32.0
Saudi Arabia,34.0,37.0
Taiwan,34.0,
Qatar,36.0,35.0
Spain,37.0,34.0
Algeria,38.0,53.0
Guatemala,39.0,29.0
Suriname,40.0,
Kuwait,41.0,39.0
Bahrain,42.0,41.0
Trinidad and Tobago,43.0,38.0
Venezuela,44.0,82.0
Slovakia,45.0,40.0
El Salvador,46.0,45.0
Malaysia,47.0,42.0
Nicaragua,48.0,43.0
Uzbekistan,49.0,47.0
Italy,50.0,48.0
Ecuador,51.0,44.0
Belize,52.0,50.0
Japan,53.0,51.0
Kazakhstan,54.0,60.0
Moldova,55.0,56.0
Russia,56.0,49.0
Poland,57.0,46.0
South Korea,57.0,55.0
Bolivia,59.0,58.0
Lithuania,60.0,52.0
Belarus,61.0,67.0
North Cyprus,62.0,61.0
Slovenia,63.0,62.0
Peru,64.0,63.0
Turkmenistan,65.0,59.0
Mauritius,66.0,64.0
Libya,67.0,68.0
Latvia,68.0,54.0
Cyprus,69.0,65.0
Paraguay,70.0,70.0
Romania,71.0,57.0
Estonia,72.0,66.0
Jamaica,73.0,76.0
Croatia,74.0,77.0
Hong Kong,75.0,
Somalia,76.0,93.0
Kosovo,77.0,78.0
Turkey,78.0,69.0
Indonesia,79.0,81.0
Jordan,80.0,74.0
Azerbaijan,81.0,85.0
Philippines,82.0,72.0
China,83.0,79.0
Bhutan,84.0,97.0
Kyrgyzstan,85.0,98.0
Serbia,86.0,73.0
Bosnia and Herzegovina,87.0,90.0
Montenegro,88.0,83.0
Dominican Republic,89.0,86.0
Morocco,90.0,84.0
Hungary,91.0,75.0
Pakistan,92.0,80.0
Lebanon,93.0,88.0
Portugal,94.0,89.0
Macedonia,95.0,92.0
Vietnam,96.0,94.0
Somaliland Region,97.0,
Tunisia,98.0,102.0
Greece,99.0,87.0
Tajikistan,100.0,96.0
Mongolia,101.0,100.0
Laos,102.0,
Nigeria,103.0,95.0
Honduras,104.0,91.0
Iran,105.0,108.0
Zambia,106.0,116.0
Nepal,107.0,99.0
Palestinian Territories,108.0,103.0
Albania,109.0,109.0
Bangladesh,110.0,110.0
Sierra Leone,111.0,106.0
Iraq,112.0,117.0
Namibia,113.0,111.0
Cameroon,114.0,107.0
Ethiopia,115.0,119.0
South Africa,116.0,101.0
Sri Lanka,117.0,120.0
India,118.0,122.0
Myanmar,119.0,114.0
Egypt,120.0,104.0
Armenia,121.0,121.0
Kenya,122.0,112.0
Ukraine,123.0,132.0
Ghana,124.0,131.0
Congo (Kinshasa),125.0,126.0
Georgia,126.0,125.0
Congo (Brazzaville),127.0,124.0
Senegal,128.0,115.0
Bulgaria,129.0,105.0
Mauritania,130.0,123.0
Zimbabwe,131.0,138.0
Malawi,132.0,136.0
Sudan,133.0,130.0
Gabon,134.0,118.0
Mali,135.0,127.0
Haiti,136.0,145.0
Botswana,137.0,142.0
Comoros,138.0,
Ivory Coast,139.0,128.0
Cambodia,140.0,129.0
Angola,141.0,140.0
Niger,142.0,135.0
South Sudan,143.0,147.0
Chad,144.0,137.0
Burkina Faso,145.0,134.0
Uganda,145.0,133.0
Yemen,147.0,146.0
Madagascar,148.0,144.0
Tanzania,149.0,153.0
Liberia,150.0,148.0
Guinea,151.0,149.0
Rwanda,152.0,151.0
Benin,153.0,143.0
Afghanistan,154.0,141.0
Togo,155.0,150.0
Syria,156.0,152.0
Burundi,157.0,154.0
Taiwan Province of China,,33.0
"Hong Kong S.A.R., China",,71.0
Mozambique,,113.0
Lesotho,,139.0
Central African Republic,,155.0
