,Title,filmaffinity.Year,filmaffinity.Avg Rating,filmaffinity.Number of votes,Title,imdb.Year,imdb.Avg Rating,imdb.Num of Votes
0,The Wire,2002,8.9,44478,Breaking Bad,2008,9.5,1128407
1,Breaking Bad,2008,8.8,95784,The Wire,2002,9.3,233170
2,Juego de tronos,2011,8.6,105965,"Te quiero, Lucy",1951,8.3,20146
3,Los Simpson,1989,8.6,171157,Seinfeld,1989,8.9,212723
4,Hermanos de sangre,2001,8.5,54671,El ala oeste de la Casa Blanca,1999,8.7,53758
5,Los Soprano,1999,8.5,54403,The Oprah Winfrey Show,1986,5.1,4270
6,True Detective,2014,8.5,56391,La hora de Bill Cosby,1984,7.4,28212
7,Rick y Morty,2013,8.4,21131,Los Soprano,1999,9.2,236433
8,Monty Python's Flying Circus,1969,8.4,11904,The Tonight Show Starring Johnny Carson,1962,8.4,2674
9,El decálogo,1988,8.4,1607,60 Minutes,1968,7.5,2589
10,Black Mirror,2011,8.3,19020,Dexter,2006,8.7,579672
11,Fullmetal Alchemist: Brotherhood,2009,8.3,8866,The Wire,2004,8.5,149001
12,Roma Criminal,2008,8.3,7824,Star Trek,1966,8.3,63545
13,"Yo, Claudio",1976,8.3,8048,M.A.S.H.,1972,8.3,45331
14,Fargo,2014,8.3,31473,Perdidos,2004,8.4,441445
15,Secretos de un matrimonio,1973,8.3,129,Profesores de Boston,2000,7.3,4901
16,The Corner,2000,8.2,4078,El abogado,1997,7.7,6704
17,Peaky Blinders,2013,8.2,18988,Urgencias,1994,7.7,45107
18,Death Note,2006,8.2,38743,Todo en familia,1971,8.3,12180
19,Friends,1994,8.2,139295,The Wire,2000,8.7,81864
20,Code Geass: Lelouch of the Rebellion R2,2008,8.2,2216,Saturday Night Live,1975,8.1,37932
21,Fargo II,2015,8.1,20734,La chica de la tele,1970,8.2,5692
22,The Tatami Galaxy,2010,8.1,551,Canción triste de Hill Street,1981,8.1,6083
23,Fanny y Alexander,1983,8.1,102,Good Times,1974,7.3,4867
24,Clannad: After Story,2008,8.1,898,Barrio Sésamo,1969,8.2,10146
25,Treme,2010,8.1,7230,Bonanza,1959,7.3,6677
26,Steins;Gate,2011,8.1,2161,Carol Burnett,1967,8.8,3927
27,Más allá del jardín,2014,8.1,3609,Cheers,1982,7.8,40925
28,Last Week Tonight with John Oliver,2014,8.1,302,Las chicas de oro,1985,7.9,26466
29,Skam,2015,8.1,736,Se ha escrito un crimen,1984,6.9,15218
