,Title,filmaffinity.Year,filmaffinity.Avg Rating,filmaffinity.Number of votes,imdb.Year,imdb.Avg Rating,imdb.Num of Votes
0,The Wire,2002,8.899999618530273,44478,2002,9.3,233170
1,Breaking Bad,2008,8.800000190734863,95784,2008,9.5,1128407
2,Juego de tronos,2011,8.600000381469727,105965,0,0,0
3,Los Simpson,1989,8.600000381469727,171157,0,0,0
4,Hermanos de sangre,2001,8.5,54671,0,0,0
5,Los Soprano,1999,8.5,54403,1999,9.2,236433
6,True Detective,2014,8.5,56391,0,0,0
7,Rick y Morty,2013,8.399999618530273,21131,0,0,0
8,Monty Python's Flying Circus,1969,8.399999618530273,11904,0,0,0
9,El decálogo,1988,8.399999618530273,1607,0,0,0
10,"Te quiero, Lucy",0,0,0,1951,8.3,20146
11,Seinfeld,0,0,0,1989,8.9,212723
12,El ala oeste de la Casa Blanca,0,0,0,1999,8.7,53758
13,The Oprah Winfrey Show,0,0,0,1986,5.1,4270
14,La hora de Bill Cosby,0,0,0,1984,7.4,28212
15,The Tonight Show Starring Johnny Carson,0,0,0,1962,8.4,2674
16,60 Minutes,0,0,0,1968,7.5,2589
