,Title,Type,Year,Country,Avg Rating,Number of votes
0,The Wire,Serie de TV,2002,Estados Unidos,8.9,44478
1,Breaking Bad,Serie de TV,2008,Estados Unidos,8.8,95784
2,Juego de tronos,Serie de TV,2011,Estados Unidos,8.6,105965
3,Los Simpson,Serie de TV,1989,Estados Unidos,8.6,171157
4,Hermanos de sangre,Miniserie de TV,2001,Estados Unidos,8.5,54671
5,Los Soprano,Serie de TV,1999,Estados Unidos,8.5,54403
6,True Detective,Serie de TV,2014,Estados Unidos,8.5,56391
7,Rick y Morty,Serie de TV,2013,Estados Unidos,8.4,21131
8,Monty Python's Flying Circus,Serie de TV,1969,Reino Unido,8.4,11904
9,El decálogo,Miniserie de TV,1988,Polonia,8.4,1607
10,Black Mirror,Serie de TV,2011,Reino Unido,8.3,19020
11,Fullmetal Alchemist: Brotherhood,Serie de TV,2009,Japón,8.3,8866
12,Roma Criminal,Serie de TV,2008,Italia,8.3,7824
13,"Yo, Claudio",Miniserie de TV,1976,Reino Unido,8.3,8048
14,Fargo,Miniserie de TV,2014,Estados Unidos,8.3,31473
15,Secretos de un matrimonio,Miniserie de TV,1973,Suecia,8.3,129
16,The Corner,Miniserie de TV,2000,Estados Unidos,8.2,4078
17,Peaky Blinders,Serie de TV,2013,Reino Unido,8.2,18988
18,Death Note,Serie de TV,2006,Japón,8.2,38743
19,Friends,Serie de TV,1994,Estados Unidos,8.2,139295
20,Code Geass: Lelouch of the Rebellion R2,Serie de TV,2008,Japón,8.2,2216
21,Fargo II,Miniserie de TV,2015,Estados Unidos,8.1,20734
22,The Tatami Galaxy,Serie de TV,2010,Japón,8.1,551
23,Fanny y Alexander,Miniserie de TV,1983,Suecia,8.1,102
24,Clannad: After Story,Serie de TV,2008,Japón,8.1,898
25,Treme,Serie de TV,2010,Estados Unidos,8.1,7230
26,Steins;Gate,Serie de TV,2011,Japón,8.1,2161
27,Más allá del jardín,Miniserie de TV,2014,Estados Unidos,8.1,3609
28,Last Week Tonight with John Oliver,Serie de TV,2014,Estados Unidos,8.1,302
29,Skam,Serie de TV,2015,Noruega,8.1,736
