location.coordinates,name,number_of_employees,long,lat,Near_Emp
"[-121.967223, 37.369445]",Apigee,65,-121.967223,37.369445,652499
"[-121.9662996, 37.3694441]",Asoka,35,-121.9662996,37.3694441,652433
"[-121.968474, 37.352309]",Upcoming,3,-121.968474,37.352309,652391
"[-121.9618928, 37.3774296]","i365, A Seagate Company",550,-121.9618928,37.3774296,651932
"[-121.940749, 37.380101]",Spotplex,3,-121.940749,37.380101,651561
"[-121.9409, 37.362285]",Bravisa,6,-121.9409,37.362285,651450
"[-121.970209, 37.374659]",Berkeley Design Automation,30,-121.970209,37.374659,639402
"[-121.9478049, 37.3218356]",AdventureDrop,6,-121.9478049,37.3218356,631424
"[-121.9479223, 37.3208403]",Bunchball,60,-121.9479223,37.3208403,631074
"[-122.006539, 37.332271]",Baynote,80,-122.006539,37.332271,630598
