,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,GLobal_Sales2
Year_of_Release,1.0,-0.09256187931962025,0.0038417934755465193,-0.16838557622948283,0.03769971313573964,-0.07643283136906233,0.01141101588836161,0.22340734969365855,0.17533856849291582,-0.07640774953404542
NA_Sales,-0.09256187931962025,1.0,0.7653364809395755,0.4495981917293752,0.6386538781705632,0.9410104942592326,0.24075498707531084,0.295413115475285,0.2464290072400485,0.9410173973349664
EU_Sales,0.0038417934755465193,0.7653364809395755,1.0,0.43506817157626027,0.7227955149849749,0.9012386982358566,0.2207517183301744,0.2775334310120888,0.2833598625237708,0.9012414488706059
JP_Sales,-0.16838557622948283,0.4495981917293752,0.43506817157626027,1.0,0.2910958180523504,0.6123001376779172,0.1525933347596766,0.18021884526319618,0.07563803454080634,0.612292520214045
Other_Sales,0.03769971313573964,0.6386538781705632,0.7227955149849749,0.2910958180523504,1.0,0.7492421115148593,0.1985535605532685,0.25163864041802014,0.23898163247813947,0.7492641699486443
Global_Sales,-0.07643283136906233,0.9410104942592326,0.9012386982358566,0.6123001376779172,0.7492421115148593,1.0,0.245470677506757,0.30357082850893274,0.2650115243744558,0.9999943374097661
Critic_Score,0.01141101588836161,0.24075498707531084,0.2207517183301744,0.1525933347596766,0.1985535605532685,0.245470677506757,1.0,0.4255039231733693,0.2643762833375287,0.24550668717736773
Critic_Count,0.22340734969365855,0.295413115475285,0.2775334310120888,0.18021884526319618,0.25163864041802014,0.30357082850893274,0.4255039231733693,1.0,0.3623336174644751,0.30364968891759914
User_Count,0.17533856849291582,0.2464290072400485,0.2833598625237708,0.07563803454080634,0.23898163247813947,0.2650115243744558,0.2643762833375287,0.3623336174644751,1.0,0.265039421309218
GLobal_Sales2,-0.07640774953404542,0.9410173973349664,0.9012414488706059,0.612292520214045,0.7492641699486443,0.9999943374097661,0.24550668717736773,0.30364968891759914,0.265039421309218,1.0
